state	district	voteA	prtystrA	expendA	expendB
1	7	68	41	328.3	8.74
2	1	62	60	626.38	402.48
3	2	73	55	99.61	3.07
3	3	69	64	319.69	26.28
4	3	75	66	159.22	60.05
4	4	69	46	570.16	21.39
5	2	59	58	696.75	193.91
5	3	71	49	638.69	7.7
5	5	76	71	616.94	19.25
5	6	73	64	351.69	50.53
5	7	68	53	269.89	14.71
5	11	71	58	269.51	95.57
5	12	52	49	1440.64	1089.57
5	16	79	54	252.34	69.56
5	19	50	54	1470.67	1548.19
5	23	64	56	140.49	100.96
5	24	72	65	191.33	15.45
5	27	68	54	398.6	15.24
5	30	60	53	460.62	382.11
5	32	67	49	457.41	20.61
5	34	63	50	227.1	149.89
5	36	54	47	532.9	218.7
5	37	64	68	122.84	13.56
5	40	67	68	1110.13	47.75
5	42	64	65	494.49	11.89
6	1	70	61	217.5	26.04
6	2	63	50	721.65	85.1
6	3	78	46	482.79	17.94
6	5	75	67	183.23	0.93
6	6	63	57	636.2	489.3
7	2	64	49	727.92	246.9
7	4	72	57	372.68	44.41
7	6	66	53	399.37	128.85
8	1	68	43	371.75	184.71
9	1	67	27	210.94	23.91
9	4	50	36	313.42	1069.7
9	6	54	61	408.29	503.65
9	14	55	47	971.88	777.99
9	19	72	41	337.6	4.91
10	1	67	39	337.05	40.46
10	4	60	41	516.74	696.3
10	5	78	68	101.54	6.05
10	6	59	67	838.71	358.35
10	7	65	29	382.28	60.69
10	9	63	29	405.04	64.4
10	10	64	35	193.12	6.76
11	2	63	33	502.08	206.96
12	4	50	44	359.94	348.34
12	5	61	48	165.14	48.94
12	6	74	68	281.23	26.56
12	9	66	61	122.9	28.32
12	11	65	46	239.16	41.26
12	17	65	53	471.23	124.13
12	19	64	45	193.21	16.24
12	20	69	49	251.63	57.71
12	21	53	54	394.41	69.49
13	2	53	35	444.42	332.88
13	5	56	35	689.09	244.99
13	6	73	69	333.72	11.74
13	8	62	42	551.48	130.24
13	10	61	51	35.79	24.92
14	5	64	47	420.73	115.7
14	6	64	50	523.11	175.95
15	2	73	46	388.87	119.26
15	3	74	54	234.58	13.48
15	4	64	43	545.76	149.04
16	2	61	41	8.4	84.1
16	3	70	53	371.43	4.93
16	4	74	65	468.87	23.64
16	7	59	55	411.7	432.4
17	2	66	55	202.32	68.39
18	3	73	54	354.7	18.89
19	4	60	57	343.1	34.37
19	5	84	47	344.93	15.4
19	6	70	50	337.2	63.01
19	10	67	51	235.95	121.06
20	2	54	58	876.78	750.49
20	3	57	45	600.94	164.86
20	4	71	63	323.83	8.58
20	7	76	55	150.59	1.31
20	8	72	50	128.4	2.19
20	9	70	62	450.8	14.87
20	11	60	52	680.82	415.66
20	12	54	39	434.2	143.89
